india and japan prime ministers meet in tokyo	die premierminister indiens und japans trafen sich in tokio
what is crucial is how wide and how long the virus will continue to spread	entscheidend sei wie weit und wie lange sich das virus noch ausbreiten werde
investors may get the impression that it is dangerous to live in guinea sierra leone and liberia and therefore also to invest hugon warned	bei investoren konne der eindruck entstehen dass es gefahrlich ist in guinea sierra leone und liberia zu leben und somit auch zu investieren warnt hugon
the disease is also burdening the already strained national budgets of the states	die krankheit belastet auch die strapazierten staatshaushalte der staaten
the disease is also burdening the already strained national budgets of the affected states	die krankheit belastet auch die ohnehin strapazierten staatshaushalte der betroffenen staaten
the rating agency moodys fears that their budgets are being heavily strained by the high expenditure on the health system and also by the declining economy	die ratingagentur moodys befurchtet dass deren budgets stark von den hohen ausgaben fur das gesundheitssystem und zusatzlich von der sich verschlechternden wirtschaft strapaziert werden
the african development bank has already promised to provide financial aid to the tune of million dollars million euros to the health systems of affected countries	die afrikanische entwicklungsbank versprach bereits den gesundheitssystemen der betroffenen lander mit millionen dollar millionen euro auszuhelfen
the effects in nigeria where up to now only a few ebola cases have been diagnosed are already noticeable	spurbar sind die auswirkungen auch bereits in nigeria wo bislang nur wenige ebolafalle diagnostiziert wurden
yet the oilrich region in the south of the niger delta is not yet affected	zwar ist die olreiche region im sudlichen nigerdelta bisher nicht betroffen
however elsewhere many people are already staying at home for fear of becoming infected	doch anderswo bleiben bereits viele menschen aus angst vor einer ansteckung zuhause
there is even a marked decline in the number of hotel reservations	auch reservierungen in hotels gehen deutlich zuruck
shooters are celebrating their anniversary	schutzen feiern ihr jubilaum
the gun club tannenwald in berngau is celebrating its anniversary from to september	der schutzenverein tannenwald berngau feiert von bis september sein grundungsfest
the preparations for the party are well underway in tannenwald gun club which will celebrate years since being established on to september	auf hochtouren laufen beim schutzenverein tannenwald die vorbereitungen fur das grundungsfest von bis september
the plan for friday september is an evening of entertainment provided by the group dorfrocker	geplant ist am freitag september ein groer unterhaltungsabend mit der gruppe dorfrocker
the large cannon will be fired on saturday at	am samstag ist um uhr das groe bollerschieen
followed by a pleasant evening with stoapfalzer spitzbuam stoapfalzer rascals in a large party tent	anschlieend ist im groen festzelt der stimmungsabend mit den stoapfalzer spitzbuam
a brass band will be catering for the music	blaskapelle sorgt fur die musik
the highlights on sunday will be the festival service which will take place at in the parish church and also the processions at	hohepunkte am sonntag sind der festgottesdienst und uhr in der pfarrkirche und der groe festzug um uhr
there will also be a ranking announcement in the afternoon for the national and county shooting competition	am nachmittag ist auch die preisverteilung des bundes und gauschieens
a particularly attractive sight will be the festival women in their dirndls	ein besonders schoner anblick werden die festdamen mit ihren dirndln sein
the festival band will be berngau brass band	festkapelle ist die blaskapelle berngau
mayor wolfgang wild and state secretary albert furacker have taken on the sponsorship	die schirmherrschaft haben burgermeister wolfgang wild und staatssekretar albert furacker ubernommen
the original name schutzengesellschaft tannenwald berngau gun society tannenwald berngau dates back to when on march the club was founded and described as social entertainment by means of pistol and smallcaliber target practice	die ursprungliche bezeichnung schutzengesellschaft tannenwald berngau stammt aus dem jahr als am marz der verein zur gesellschaftlichen unterhaltung mittels ubung im zimmerstutzen und kleinkaliberschieen gegrundet worden ist
in the nazi regime closed the club down	das nsregime hatte die auflosung des vereins veranlasst
then on april young men founded the club again and launched the new gun club tannenwald in berngau at lukas guesthouse	erst haben sich sich wieder junge manner gefunden die am april im gasthaus lukas den neuen schutzenverein tannenwald berngau aus der taufe gehoben haben
karl marz and adolf ried led the club as range officers during its tough early years the main objective then was to find a club pub and set up a shooting company	karl marz und adolf ried fuhrten den verein als schutzenmeister durch eine schwierige anfangszeit in der es vornehmlich darum ging ein vereinslokal zu finden und den schiebetrieb zu installieren
as early as autumn the shooting club started out in leininger guest house with two teams competing against one another	bereits im herbst startete der schutzenverein im gasthaus leininger mit zwei mannschaften in den rundenwettkampfen
the following year target shooting was set up as a sport organized into seven teams ranging in ability all the way up to the local premier league	in den folgejahren etablierten sich die sportschutzen die mittlerweile in sieben mannschaften organisiert waren in allen klassen bis hin zur gauliga
the club records roll out every year and the magic rounds were set up for the first time in by rudi meier	die vereinsrekorde purzelten alljahrlich und die magische grenze von ringen wurde zum ersten mal von rudi meier erreicht
just as the achievements of the active members has increased so have the number of members	so wie sich die leistungsfahigkeit der aktiven schutzen erhoht haben haben sich auch die mitgliederzahlen positiv entwickelt
once the club pub leininger no longer met the requirements of a modern gun club the clubs management at the time lead by johann rinn decided to set up its future home in the basement room of the new landgasthof harteis a country hotel	nachdem das vereinslokal leininger nicht mehr den anspruchen eines modernen schutzenvereins genugt hat hat sich die damalige vorstandschaft unter der fuhrung von johann rinn dazu entschlossen in den kellerraumen des neuen landgasthof harteis ein kunftiges domizil zu schaffen
after hours of hard work father strasser issued the blessing of the church for the new guns room on may	nach einer arbeitsleistung von stunden erteilte am mai pfarrer strasser fur die neuen schutzenraume den kirchlichen segen
one of the greatest highlights in the history of the club was without doubt the local shooting competition which is linked to the formal consecration of the new shooting flag in july	einer der groen hohepunkte in der vereinsgeschichte war sicherlich das gauschieen verbunden mit der feierlichen weihe der neuen schutzenfahne im juli
on and april the shooting club celebrated its anniversary	am und april hat der schutzenverein sein grundungsjubilaum gefeiert
in the cannon group was founded	ist eine bollergruppe gegrundet worden
josef schmalzl was the head of the cannon division	josef schmalzl wurde bollerreferent
organizing the bavarian cannon meeting in was a huge challenge for the cannon shooters and for the club as a whole	eine groe herausforderung fur die bollerer und fur den verein insgesamt war die ausrichtung des bayerischen bollertreffens
many hours of voluntary work was dedicated by members of the club last year to modernize the rooms and shooting facilities in the berngau courtyard making it state of the art	in vielen stunden ehrenamtlicher arbeit haben die vereinsmitglieder im vergangenen jahr die raume und die schieanlage im berngauer hof modernisiert und damit auf den neuesten stand der technik gebracht
eleven teams go head to head	elf teams in rundenwettkampfen
the sporting achievements of the shooting club are also impressive	sehen lassen konnen sich auch die sportlichen leistungen des schutzenvereins
currently there are a total of eleven teams that are taking part in the competitions six air rifles teams one pellet gun team one sport target pistol team one youth team and two oldtimer teams	insgesamt nehmen gegenwartig elf mannschaften an den rundenwettkampfen teil sechs luftgewehrmannschaften eine luftpistolenmannschaft eine sportpistolen eine jugend und zwei ahmannschaften
the first team comprised of lars ellrich katharina ellrich steffi grad and kerstin kellermann was promoted to number in the regional league in up from the local premier league the highest of the shooting leagues in the anb	die mannschaft mit lars ellrich katharina ellrich steffi grad und kerstin kellermann ist in der runde von der gauoberliga hochste liga im schutzengau anb in die bezirksliga aufgestiegen
the second team comprised of verena moosburger alexandra meier eva schuhmann and tobias graml was promoted from the north local league to the local premier league	die mannschaft mit verena moosburger alexandra meier eva schuhmann und tobias graml ist von der gauliga nord in die gauoberliga aufgestiegen
in addition to shooting events such as bockstechen fasching and konigsball club excursions and also christmas celebrations are all club traditions	neben dem schiesport haben veranstaltungen wie bockstechen faschings und konigsball vereinsausflug und weihnachtsfeier tradition
the shooters also attend the parish and community festivals	mit dabei sind die schutzen auch bei den festen in pfarrei und gemeinde
tony stewart crashes in return to track	tony stewart erleidet unfall bei ruckkehr auf die rennstrecke
tony stewarts return to the track has ended only a little over halfway through his race at atlanta motor speedway	tony stewarts ruckkehr auf die rennstrecke endete etwa auf halbem wege durch sein rennen auf dem atlanta motor speedway
stewart hit the wall for the second time after his right front tire blew out on lap ending his night	stewart fuhr zum zweiten mal gegen die mauer nachdem sein rechter vorderreifen in runde platzte und seinen abend beendete
stewart drove his battered car to the garage and then exited without speaking to reporters	stewart fuhr sein beschadigtes auto in die garage und verlie es ohne mit journalisten zu sprechen
his crew chief chad johnston said the team was disappointed but will now start focusing on next weekends race in richmond virginia	sein teamchef chad johnston sagte sein team sei enttauscht konzentriere sich jetzt aber auf das rennen am kommenden wochenende in richmond virginia
i wish we could have had a better effort and a better finish for him johnston said	ich wunschte wir hatten einen besseren einsatz und ein besseres ergebnis fur ihn gehabt sagte johnston
well go on to richmond and hope we can do better there	wir fahren nach richmond und hoffen dass wir es dort besser machen konnen
stewart first went into the wall earlier in sunday nights race following a collision with kyle busch requiring work to the right side of his car	stewart fuhr bereits fruher beim rennen am sonntag abend nach einer kollision mit kyle busch in eine mauer und musste die rechte seite seines wagens reparieren lassen
i went into today with some pretty good hopes of finishing well johnston said adding it just didnt work out	ich bin heute mit recht guten hoffnungen auf ein gutes ergebnis hineingegangen sagte johnston und fugte hinzu es hat einfach nicht geklappt
not long after the second crash stewarts car was loaded onto the hauler and the team was packed up and ready to leave	nicht lange nach dem zweiten unfall wurde stewarts wagen in den schlepper geladen und das team hatte gepackt und war zur abfahrt bereit
stewart skipped three nascar sprint cup races after his car struck and killed a fellow driver in a dirttrack race in upstate new york	stewart lie drei nascar sprint cup rennen ausfallen nachdem sein wagen einen anderen fahrer bei einem aschenbahnrennen im norden des staates new york traf und totete
he decided to return this week needing to win either at atlanta or the next race at richmond to claim a spot in the chase	er beschloss diese woche zuruckzukehren und entweder in atlanta oder bei dem nachsten rennen in richmond zu gewinnen um einen platz in der verfolgung zu gewinnen
he returned to work as an investigation into the tragic incident that resulted in the death of kevin ward jr who had stepped on the track to confront stewart during a race	er kehrte an seinen arbeitsplatz zuruck wahrend einer untersuchung zu dem tragischen vorfall der zum tod des kevin ward jr fuhrte untersucht wird dieser war wahrend eines rennens auf die fahrbahn getreten um stewart zu konfrontieren
authorities said friday that the probe into the cause of the crash will last at least another two weeks	die behorden teilten am freitag mit dass die untersuchungen zur ursache des unfalls noch mindestens zwei wochen andauern werden
no decision has been made about whether stewart will face charges	es wurde noch keine entscheidung daruber getroffen ob stewart mit einer anklage rechnen muss
the threetime champion received a big cheer when he was introduced before the race	der dreimalige champion wurde mit groem beifall empfangen als er vor dem rennen vorgestellt wurde
starting in the spot stewart ran in the top early in the race getting as high as fourth	nach einem start an position war stewart schon kurz danach in die ersten vorgedrungen und lag zeitweilig auf platz vier
then on lap after a restart buschs no	nach einem neustart in runde geriet buschs
machine got loose coming out of turn and banged into stewart sending both cars against the wall	wagen mit der nr auer kontrolle nach dem ausgang aus kurve und kollidierte mit stewart wobei beide wagen gegen die mauer fuhren
stewart carried on but dropped back to	stewart fuhr weiter fiel aber auf platz zuruck
dancecrazy youths wanted	tanzfreudiger nachwuchs gesucht
just try it laura lena lisa marie bettina emma and manager lisa neitzel from left to right are looking forward to new members	einfach ausprobieren laura lena lisa marie bettina emma und leiterin lisa neitzel von links freuen sich auf mitstreiter
like many other clubs the jazz group also runs a daylong class in tv jahn in order to make it to the prep school	wie vielen anderen vereinen macht auch den jazzgruppen im tv jahn der ganztagsunterricht an den weiterfuhrenden schulen zu schaffen
some groups have seen sharp declines in attendees after the summer holidays	nach den sommerferien haben sich einige gruppen stark dezimiert
now they are eagerly on the look out for youths for a sport which is healthy and a lot of fun	nun wird verstarkt nachwuchs gesucht fur eine sportart die gesund ist und groen spa macht
there are now only nine children in both the jazz and modern dance group given by lisa neitzel former dancer in the jazz and modern dance formation spirits	in den beiden jazz und moderndancegruppen von lisa neitzel ehemals tanzerin in der jazz und modern danceformation spirits sind nur noch neun kinder
the old tells us there are three in the eight to twelves six in the twelves to	drei in der gruppe der acht bis zwolfjahrigen sechs in der gruppe der zwolf bis erzahlt die
if there were more active participants the whole thing would be a lot more fun we could dance to completely different choreographs she said	mit mehr aktiven wurde das ganze deutlich mehr spa machen man konnte ganz andere choreografien tanzen sagt sie
anyone interested in dancing can come along and have a go there is no obligation to join the session run on thursdays between and and on fridays from until pm in the dance room at what was hotel meyer freistrae	wer lust auf tanzen hat kann donnerstags zwischen und uhr oder freitags zwischen und uhr im tanzsportraum am ehemaligen hotel meyer freistrae unverbindlich in die trainingsstunde hineinschnuppern
training usually starts with a warm up program the trainer explained	das training beginnt regelmaig mit einem aufwarmprogramm erzahlt die trainerin
we then practice different choreographs	danach werden verschiedene choreografien eingeubt
jazzdance is such that there is no hard and fast way of doing it which makes it open to many styles	jazzdance hat das merkmal dass es keine festgelegte form gibt und ist daher fur viele stile offen
elements ranging from folklore and classical to sports and acrobatics are worked into jazz dance	elemente aus folklore uber klassik bis zu sport und akrobatik werden im jazz dance verarbeitet
and of course the socializing isnt bad either	naturlich kommt auch die geselligkeit nicht zu kurz
we sometimes go out to eat watch dance films and we have also slept over in the dance hall before now lisa neitzel tells us	wir gehen auch mal essen gucken tanzfilme und wir haben auch schon mal im tanzraum ubernachtet berichtet lisa neitzel
you can make friends in the group share a wonderful hobby and also do a great deal for your own motor development	in der gruppe konne man freundschaften schlieen ein wunderschones hobby teilen und dabei noch eine ganze menge fur die eigene motorische entwicklung tun
if jazz is not your thing then you can also come along and try out one of the other groups offered by tv jahn	wem jazztanz nicht so liegt der kann auch in eines der anderen angebote des tv jahn hineinschnuppern
children and youngsters are always welcome to pop in and have a go during wednesdays class they can choose from childrens dancingjazz video clip dancing and hiphop	kinder und jugendliche konnen immer mittwochs in den unterricht in den bereichen kindertanzjazztanz bambiniballett videoclipdancing und hiphop in den unterricht hineinschnuppern
the dance teacher is francisco afonso	der tanztrainer ist francisco afonso
adult couples are welcome to attend the dance evenings on mondays and wednesdays	erwachsenenpaare sind zu den tanzabenden am montag und mittwoch willkommen
if you are interested in discofox slow waltzes viennese waltzes rumba chachacha or the tango drop in and take part	wer lust auf discofox langsamen walzer wiener walzer rumba chachacha und tango hat darf vorbeischauen und mitmachen
bulgarias prison officers stage national protest	bulgarische gefangnisaufseher protestieren landesweit
hundreds of prison workers from across bulgaria have held a national protest in front the justice ministry in the capital sofia	hunderte von gefangnismitarbeitern aus ganz bulgarien haben vor dem justiziministerium in der hauptstadt sofia einen landesweiten protest organisiert
in a peaceful demonstration they have reiterated their calls for the old working conditions which were recently changed to be restored	in der friedlichen demonstration wiederholten sie ihre forderungen nach wiederherstellung ihrer alten arbeitsbedingungen die kurzlich geandert wurden
higher salaries are also among a list of requests due to be discussed with interim justice minister hristo ivanov	auch hohere gehalter stehen auf einer forderungsliste die mit dem interimjustizminister hristo ivanov diskutiert werden soll
for a month officers have protested symbolically against the new working hours demanding to return to the old hour shifts	die beamten protestieren seit einem monat symbolisch gegen die neuen arbeitszeiten und fordern eine ruckkehr zu den fruheren
despite the meetings between the prison officers union and the justice ministry representatives an agreement was not reached bulgarian national radio bnr informs	trotz der treffen zwischen der gewerkschaft der gefangnismitarbeiter und vertretern des justiziministeriums wurde keine vereinbarung erzielt meldete das nationale bulgarische ratio bnr
negotiations are ongoing the head of the chief directorate on the execution of penalties rosen zhelyazkov told bnr	die verhandlungen dauern an teilte der generaldirektor fur die durchfuhrung von strafmanahmen rosen zhelyazkov dem bnr
the protest of the prison workers union is expected to be joined by members of the trade union federation of the employees in the ministry of interior	der protest der gefangnismitarbeiter wird voraussichtlich von mitgliedern der gewerkschaft vereinigung der angestellten des innenministeriums unterstutzt
ukrainian army has abandoned luhansk airport	ukrainische armee hat flughafen von luhansk aufgegeben
prorussian fighters are gaining ground again in east ukraine	in der ostukraine sind die prorussischen kampfer weiter auf dem vormarsch
following heavy fighting in which russian tank divisions are also said to have participated the ukrainian army has today monday abandoned luhansk airport the rebel stronghold	nach schweren gefechten an denen angeblich auch russische panzerbataillone beteiligt waren hat die ukrainische armee heute montag den flughafen der rebellenhochburg luhansk aufgegeben
the army announced at the same time that over the past hours seven soldiers have been killed	die armee teilte zugleich mit dass in den vergangenen stunden sieben soldaten getotet worden seien
the ukrainian president petro poroschenko had previously taken appropriate action personally due to the heavy defeats suffered by his army in the fight against the separatists and announced changes to the senior leadership of the army without going into detail	der ukrainische prasident petro poroschenko hatte zuvor bereits personelle konsequenzen aus den schweren niederlagen seiner armee im kampf gegen die separatisten gezogen und veranderungen in der obersten armeefuhrung angekundigt ohne details zu nennen
prorussian separatists shot down an aircraft	prorussische separatisten schossen flugzeug ab
in the fight against ukrainian government troops prorussian separatists say that they have once again shot down a warplane and two military helicopters	im kampf gegen ukrainische regierungstruppen haben prorussische separatisten nach eigener darstellung erneut ein kampfflugzeug und zwei militarhubschrauber abgeschossen
rebel forces announced on monday that around soldiers are also believed to have been injured or killed in fighting in the donezk region according to russian agencies	rund soldaten seien zudem bei gefechten in der region donezk verletzt oder getotet worden teilten die aufstandischen am montag russischen agenturen zufolge mit
coastguard ships sunk	schiffe der kustenwache versenkt
the rebels also claimed that for the first time they have sunk two of the ukrainian coastguards boats in the sea of azov	die aufstandischen behaupteten zudem erstmals im asowschen meer zwei boote der ukrainischen kustenwache versenkt zu haben
the ukrainian border police confirmed that two of its ships came under fire on sunday near to the harbor town of mariupol	der ukrainische grenzschutz bestatigte dass zwei seiner schiffe am sonntag in der nahe der hafenstadt mariupol unter beschuss geraten waren
during the attack seven border guards were injured according to a spokesperson speaking to the station in kiev	dabei seien sieben grenzschutzer verletzt worden sagte ein sprecher in kiew dem sender
two crew members are missing	zwei besatzungsmitglieder galten als vermisst
local media blamed russia for the incident	ortliche medien machten russland fur den vorfall verantwortlich
in addition to this the separatists reported that they have taken control of several towns and villages in the donezk region	die separatisten berichteten uberdies mehrere ortschaften im gebiet donezk unter ihre kontrolle gebracht zu haben
diplomatic offensive in minsk	diplomatische offensive in minsk
the ukrainian contract group are meeting today in the belorussian capital city of minsk	in der weirussischen hauptstadt minsk trifft sich heute die ukrainekontaktgruppe
representatives from ukraine russia and the osce as well as an ambassador for the separatists from east ukraine should take part	neben vertretern der ukraine russlands und der osze sollte daran auch ein gesandter der separatisten aus der ostukraine teilnehmen
prior to the meeting all parties used their appearance as a means of publicly announcing their demands	im vorfeld nutzten alle akteure ihre auftritte zur offentlichen bekanntgabe ihrer forderung
nato does not want to break agreements with russia	nato will vereinbarungen mit russland nicht brechen
nato will not break their agreements with russian as a result of their planned deployment to east europe in response to the ukrainian crisis	die nato wird durch die geplanten stationierungen in osteuropa infolge der ukrainekrise nicht ihre vereinbarung mit russland brechen
in brussels on monday the secretary general of nato anders fogh rasmussen said that nato will adhere to the natorussia council formation agreement of	natogeneralsekretar anders fogh rasmussen sagte am montag in brussel die nato halte sich an die grundungsvereinbarung des natorusslandrates von
nevertheless the head of nato accused russia of a flagrant breach of the agreement	der natochef beschuldigte allerdings russland eines krassen bruches der vereinbarung
today we must face up to the reality that russia does not consider nato as a partner rasmussen said	heute mussen wir der realitat ins auge sehen dass russland die nato nicht als partner betrachtet so rasmussen
documents and statements from the russian side reveal that they consider us as enemies	aus dokumenten und stellungnahmen von russischer seite gehe hervor dass sie uns als gegner betrachten
strengthened nato presence	starkere natoprasenz
rasmussen also announced that he wants to strengthen the presence of nato in east europe	rasmussen hat auch angekundigt die natoprasenz in osteuropa verstarken zu wollen
a nato summit meeting in wales to decide on a readiness action plan will ensure that we will have a more visible nato presence in the east if needs be rasmussen explained in brussels on monday	ein beim natogipfel in wales zu beschlieender readiness action plan werde sicherstellen dass wir mehr sichtbare natoprasenz im osten haben werden solange dies notig ist sagte rasmussen am montag in brussel
kiev and moscow have agreed to new talks on gas	kiew und moskau einigen sich auf neue gasgesprache
according to official data russia and ukraine have agreed to new talks to settle disputes over gas	russland und die ukraine haben sich offiziellen angaben zufolge auf neue gesprache zur beilegung ihres gasstreits geeinigt
the negotiations have been scheduled to take place next saturday the russian minister of energy alexander nowak said on monday	die verhandlungen seien fur kommenden samstag angesetzt sagte der russische energieminister alexander nowak am montag
the decision of the european union as to whether they will also send a representative to the talks is yet to be made	es werde noch auf eine entscheidung der europaischen union gewartet ob sie ebenfalls einen vertreter zu den gesprachen entsende
due to the disputes over gas prices ukraine has not been receiving fuel from russia for weeks	wegen des streits uber den gaspreis bekommt die ukraine seit wochen keinen brennstoff mehr aus russland
the eu energy commissioner gunther oettinger has recently arbitrated between the two sides	zuletzt hatte euenergiekommissar gunther oettinger zwischen beiden seiten vermittelt
ukraine warned that russia could also suspend the gas supply to europe	die ukraine hatte gewarnt russland konnte auch die gasversorgung fur europa unterbrechen
europe purchases around one third of its natural gas from russian sources a large proportion of which flows through ukraine	europa bezieht rund ein drittel seines erdgases aus russischen quellen wovon ein groer teil durch die ukraine fliet
merkel puts her foot down lets be clear tolls will come	merkel spricht machtwort maut wird ganz klar kommen
once again the chancellor makes herself clear	jetzt bekennt sich die kanzlerin noch einmal klar dazu
however there is still no charter explaining all the complex details	ein freibrief fur alle komplizierten details ist es aber nicht
stiff opposition from the cdu against the tolls is making the csu increasingly angrier	hartnackige bedenken aus der cdu gegen die pkwmaut haben die csu zusehends ergrimmt
following persistent opposition from the cdu the chancellor of germany angela merkel has put her foot down with regard to the introduction of tolls	bundeskanzlerin angela merkel hat nach anhaltenden widerstanden aus ihrer cdu ein machtwort fur die einfuhrung einer pkwmaut gesprochen
lets be crystal clear they are mentioned in the coalition agreement and we will have them the party leader said on monday following a cdu party conference with top committees in berlin	um es ganz klar zu sagen sie steht im koalitionsvertrag und sie wird kommen sagte die parteichefin am montag nach sitzungen der cduspitzengremien in berlin
but merkel has not for the time being established a detailed model	auf ein detailliertes modell legte sich merkel aber vorerst nicht fest
certain parameters were mentioned in the blackred government program	im schwarzroten regierungsprogramm seien bestimmte parameter genannt
the minister of transport alexander dobrindt csu made a suggestion and we are continuing to work on it	bundesverkehrsminister alexander dobrindt csu habe einen vorschlag gemacht und an dem wird jetzt weitergearbeitet
the nwcdu however is insisting that tolls on all streets be objected against	die nrwcdu beharrt allerdings auf ihrem nein zu einer maut gleich auf allen straen
merkel stressed that even the minister of finance wolfgang schauble cdu is participating constructively in the consultations on the draft bill	merkel betonte auch finanzminister wolfgang schauble cdu bringe sich konstruktiv in die beratungen fur einen gesetzentwurf ein
he has spoken with dobrindt on the topic and about further possibilities for capitalizing more and investing more in infrastructure such as developing broadband	uber das thema hinaus habe er mit dobrindt auch uber weitere moglichkeiten gesprochen mehr privates kapital fur investitionen in infrastruktur zu aktivieren etwa auch beim breitbandausbau
there is nothing special about it on sunday schauble let an article in the spiegel pass without comment which stated that his house is testing its own concept for compensating motorway investors with returns on the tolls after the election	da ist gar nichts besonderes dran schauble hatte am sonntag einen spiegelbericht unkommentiert gelassen sein haus prufe ein eigenes konzept um autobahninvestoren mit mauteinnahmen zu verguten nach der wahl
as a result the leader of the csu horst seehofer warned about developing toll concepts in the cabinet against the minister in charge	csuchef horst seehofer warnte daraufhin davor im kabinett mautkonzepte gegen den federfuhrenden minister zu entwickeln
the deputy leader of the cdu armin laschet reinforced his objections	cdubundesvize armin laschet bekraftigte seine einwande
the coalition agreement never assumed that all district and aroads would get tolls the state chairman for north rhinewestphalia said	der koalitionsvertrag ging nie davon aus alle kreis und bundesstraen zu bemauten sagte der nordrheinwestfalische cdulandesvorsitzende
the fact that seehofer has now announced that he will discuss this topic again is an important sign	insofern sei es ein wichtiges signal dass seehofer jetzt angekundigt habe noch einmal uber das thema zu sprechen
opposition to the plans has also been received from the cdu state association in badenwurttemberg and rhinelandpalatinate	widerstand gegen die plane kommt auch von den cdulandesverbanden badenwurttemberg und rheinlandpfalz
this is due to concerns that a toll would have a negative impact on smallscale border traffic to neighboring states	hintergrund sind befurchtungen dass eine maut den kleinen grenzverkehr zu nachbarstaaten beeintrachtigt
seehofer has demanded loyalty to the coalition following criticism of the tolls from members of the cdu	seehofer hatte wegen der mautkritik aus reihen der cdu koalitionstreue verlangt
die linke the lefties are considering the plans a failure given the arguing within the union	die linke sieht die plane angesichts des streits in der union als gescheitert an
the messed up toll is dead bernd riexinger the party leader told the neuen osnabrucker zeitung newspaper on monday	die murksmaut ist tot sagte parteichef bernd riexinger der neuen osnabrucker zeitung montag
if the toll fails the minister fails dobrindt wants to introduce an obligation to have toll labels on all german streets as of	mit der maut scheitert der minister dobrindt will eine vignettenpflicht auf allen deutschen straen einfuhren die starten soll
according to the coalition agreement car owners in german must not however have to face additional charges	inlandische autobesitzer durfen laut koalitionsvertrag aber nicht zusatzlich belastet werden
as such road tax should be offset against tolls for them	daher sollen sie uber die kfzsteuer einen vollen ausgleich fur die maut erhalten
according to eu law however the model must not disadvantage foreign drivers due to their nationality	das modell darf auslandische fahrer aber gema eurecht nicht wegen ihrer nationalitat benachteiligen
genetic disorder often misdiagnosed	genetische storung oft falsch diagnostiziert
a british woman says she spent many years thinking she was going to die after a misdiagnosis	eine britin sagt sie dachte als folge einer fehldiagnose uber viele jahre dass sie sterben wurde
karin rodgers spent most of her teenage life believing that she only had years to live after she was diagnosed with another disease	karin rodgers lebte fast ihre gesamte jugend in dem glauben dass sie nur noch wenige jahre zu leben habe nachdem sie mit einer anderen krankheit diagnostiziert worden war
she actually had charcotmarietooth disease cmt a group of inherited disorders that damage nerves outside the brain and spine	sie litt tatsachlich an der charcotmarietoothkrankheit cmt einer gruppe ererbter storungen die die nerven auerhalb des gehirns und des ruckenmarks schadigen
charity cmt uk said that misdiagnosis is a common problem among people with cmt because so little is known about the condition	charity cmt uk teilte mit dass fehldiagnosen ein haufiges problem bei menschen mit cmt sind weil so wenig uber diese krankheit bekannt ist
about people in the uk are thought to have cmt which can cause motor symptoms such as muscle weakness an awkward gait and curled toes	etwa menschen in grobritannien leiden vermutlich an cmt die zu motorischen storungen wie muskelschwache einem unsicheren gang und gekrummten zehen fuhren kann
sufferers can also experience numbness or pain and the condition is incurable and progressive meaning symptoms get worse over time	erkrankte leiden auch an taubheitsgefuhlen oder schmerzen die krankheit ist unheilbar und fortschreitend was bedeutet dass die symptome mit der zeit schlimmer werden
when rodgers was she was under the impression that she suffered from friedreichs ataxia fa a condition which had a very poor prognosis	als rodgers war glaubte sie dass sie an friedreichataxie fa leide einer krankheit mit sehr schlechten uberlebenschancen
rodgers thought that she was going to be wheelchair bound by the time she was and dead before she reached her	rodgers dachte sie wurde im rollstuhl sitzen bevor sie wurde und vor ihrem geburtstag sterben
the motheroftwo who is now said as a child i knew i couldnt do the same things as others	die mutter von zwei kindern die heute jahre alt ist sagte als kind wusste ich dass ich nicht das gleiche tun konnte wie die anderen
i was falling daily and everything took me longer to do	ich fiel standig hin und alles dauerte bei mir langer
i could never rollerskate or skateboard with other kids and got bullied at school a lot because of the way i walked and ran	ich konnte nie mit den anderen kindern rollschuh oder skateboard fahren und wurde in der schule oft wegen meiner art zu gehen und zu laufen gehanselt
rodgers said when she was aged after several operations to release her achilles tendons and straighten out her feet she took a peak at her medical notes when her consultant left the room which said that she suffered from fa	rodgers sagte dass sie im alter von jahren nach mehreren operationen zur entlastung ihrer achillessehnen und streckung ihrer fue ihre krankenakte einsah als ihr arzt das zimmer verlassen hatte und las dass sie an fa litt
i felt guilty because id been nosy and so i didnt tell anybody but i did come home look up the condition at the library and wrote to the fa association she said	ich fuhlte mich schuldig weil ich neugierig gewesen war also habe ich das niemandem erzahlt aber ich ging nach hause suchte nach der krankheit in der bibliothek und schrieb an die fagesellschaft sagte sie
when i got the information back i was gobsmacked and in the worst state of panic possible	als ich antwort erhielt war ich geschockt und geriet furchterlich in panik
i thought id be in a wheelchair at and dead by the time i was and in between gradually lose all my ability	ich dachte dass ich mit im rollstuhl sein wurde und mit sterben und dazwischen langsam alle meine fahigkeiten verlieren wurde
i was going through this on my own and i planned my own funeral	ich machte das alles alleine mit mir aus und plante meine eigene beerdigung
she said by the time she reached she realised that her walking abilities hadnt deteriorated as much as she thought they would have and asked her surgeon about it	sie sagte als sie wurde wurde ihr klar dass ihre fahigkeiten nicht so stark abgenommen hatte wie sie es sich vorgestellt hatte und befragte ihren arzt
he just stood up and hugged me and said my dear i dont think you have it as you would be in a wheelchair now	er stand einfach auf und umarmte mich und sagte meine liebe ich glaube nicht dass du das hast sonst warst du jetzt schon im rollstuhl
i think you have something a lot less life threatening	ich glaube du hast etwas weitaus weniger lebensbedrohliches
after some genetic testing she was found to have cmt	nach einigen genetischen tests wurde bei ihr cmt festgestellt
when he explained what cmt was i thought id drawn the lucky straw she said	als er mir erklarte was cmt war fuhlte ich mich als ware ich eine gewinnerin sagte sie
